name,metric,cluster_num,value,n,network_id,clustering_id
oslom,Conductance,Entire Graph,0.2454,10000,2,2
oslom,0.5_precision,Entire Graph,0.9807216333625388,10000,1,1
oslom,0.5_recall,Entire Graph,0.19172581090651408,10000,1,1
oslom,0.6_precision,Entire Graph,0.9807216333625388,10000,1,1
oslom,0.6_recall,Entire Graph,0.19172581090651408,10000,1,1
oslom,0.7_precision,Entire Graph,0.9807216333625388,10000,1,1
oslom,0.7_recall,Entire Graph,0.19172581090651408,10000,1,1
oslom,0.8_precision,Entire Graph,0.9807216333625388,10000,1,1
oslom,0.8_recall,Entire Graph,0.19172581090651408,10000,1,1
oslom,0.9_precision,Entire Graph,0.9807216333625388,10000,1,1
oslom,0.9_recall,Entire Graph,0.19172581090651408,10000,1,1
oslom,1.0_precision,Entire Graph,0.48717948717948717,10000,1,1
oslom,1.0_recall,Entire Graph,0.09143106549544379,10000,1,1
oslom,NLS,Entire Graph,0.84434592332451086,10000,1,1
oslom,Block_size_median,Entire Graph,31.0,10000,1,1
oslom,Sample_block_num,Entire Graph,39,10000,1,1
oslom,Original_block_num,Entire Graph,39,10000,1,1
oslom,ANC,Entire Graph,1.0,10000,1,1
oslom,Scikit-learn NMI,Entire Graph,0.96640974556488679,10000,1,1
oslom,Adjusted Rand Score,Entire Graph,0.9468193147114305,10000,1,1
oslom,Lancichinetti NMI,Entire Graph,0.926823,10000,1,1
oslom,0.5_precision,Entire Graph,0.9807216333625388,10000,1,2
oslom,0.5_recall,Entire Graph,0.19172581090651408,10000,1,2
oslom,0.6_precision,Entire Graph,0.9807216333625388,10000,1,2
oslom,0.6_recall,Entire Graph,0.19172581090651408,10000,1,2
oslom,0.7_precision,Entire Graph,0.9807216333625388,10000,1,2
oslom,0.7_recall,Entire Graph,0.19172581090651408,10000,1,2
oslom,0.8_precision,Entire Graph,0.9807216333625388,10000,1,2
oslom,0.8_recall,Entire Graph,0.19172581090651408,10000,1,2
oslom,0.9_precision,Entire Graph,0.9807216333625388,10000,1,2
oslom,0.9_recall,Entire Graph,0.19172581090651408,10000,1,2
oslom,1.0_precision,Entire Graph,0.48717948717948717,10000,1,2
oslom,1.0_recall,Entire Graph,0.09143106549544379,10000,1,2
oslom,NLS,Entire Graph,0.84434592332451086,10000,1,2
oslom,Block_size_median,Entire Graph,31.0,10000,1,2
oslom,Sample_block_num,Entire Graph,39,10000,1,2
oslom,Original_block_num,Entire Graph,39,10000,1,2
oslom,ANC,Entire Graph,1.0,10000,1,2
oslom,Scikit-learn NMI,Entire Graph,0.96640974556488679,10000,1,2
oslom,Adjusted Rand Score,Entire Graph,0.9468193147114305,10000,1,2
oslom,Lancichinetti NMI,Entire Graph,0.926823,10000,1,2
oslom,0.5_precision,Entire Graph,0.9600581448526128,10000,2,1
oslom,0.5_recall,Entire Graph,0.18296939875023316,10000,2,1
oslom,0.6_precision,Entire Graph,0.9600581448526128,10000,2,1
oslom,0.6_recall,Entire Graph,0.18296939875023316,10000,2,1
oslom,0.7_precision,Entire Graph,0.9600581448526128,10000,2,1
oslom,0.7_recall,Entire Graph,0.18296939875023316,10000,2,1
oslom,0.8_precision,Entire Graph,0.9600581448526128,10000,2,1
oslom,0.8_recall,Entire Graph,0.18296939875023316,10000,2,1
oslom,0.9_precision,Entire Graph,0.8995859179118959,10000,2,1
oslom,0.9_recall,Entire Graph,0.17111702483748864,10000,2,1
oslom,1.0_precision,Entire Graph,0.13793103448275862,10000,2,1
oslom,1.0_recall,Entire Graph,0.02455704224431929,10000,2,1
oslom,NLS,Entire Graph,0.86995610698447057,10000,2,1
oslom,Block_size_median,Entire Graph,44.0,10000,2,1
oslom,Sample_block_num,Entire Graph,29,10000,2,1
oslom,Original_block_num,Entire Graph,29,10000,2,1
oslom,ANC,Entire Graph,1.0,10000,2,1
oslom,Scikit-learn NMI,Entire Graph,0.95316013029144808,10000,2,1
oslom,Adjusted Rand Score,Entire Graph,0.9315939583490428,10000,2,1
oslom,Lancichinetti NMI,Entire Graph,0.890709,10000,2,1
oslom,0.5_precision,Entire Graph,0.9600581448526128,10000,2,2
oslom,0.5_recall,Entire Graph,0.18296939875023316,10000,2,2
oslom,0.6_precision,Entire Graph,0.9600581448526128,10000,2,2
oslom,0.6_recall,Entire Graph,0.18296939875023316,10000,2,2
oslom,0.7_precision,Entire Graph,0.9600581448526128,10000,2,2
oslom,0.7_recall,Entire Graph,0.18296939875023316,10000,2,2
oslom,0.8_precision,Entire Graph,0.9600581448526128,10000,2,2
oslom,0.8_recall,Entire Graph,0.18296939875023316,10000,2,2
oslom,0.9_precision,Entire Graph,0.8995859179118959,10000,2,2
oslom,0.9_recall,Entire Graph,0.17111702483748864,10000,2,2
oslom,1.0_precision,Entire Graph,0.13793103448275862,10000,2,2
oslom,1.0_recall,Entire Graph,0.02455704224431929,10000,2,2
oslom,NLS,Entire Graph,0.86995610698447057,10000,2,2
oslom,Block_size_median,Entire Graph,44.0,10000,2,2
oslom,Sample_block_num,Entire Graph,29,10000,2,2
oslom,Original_block_num,Entire Graph,29,10000,2,2
oslom,ANC,Entire Graph,1.0,10000,2,2
oslom,Scikit-learn NMI,Entire Graph,0.95316013029144808,10000,2,2
oslom,Adjusted Rand Score,Entire Graph,0.9315939583490428,10000,2,2
oslom,Lancichinetti NMI,Entire Graph,0.890709,10000,2,2
mod_opt,Modularity,Entire Graph,0.3810,10000,1,1
mod_opt,Coverage,Entire Graph,0.4493,10000,1,1
mod_opt,Conductance,Entire Graph,0.2615,10000,1,1
mod_opt,Modularity,Entire Graph,0.3810,10000,1,2
mod_opt,Coverage,Entire Graph,0.4493,10000,1,2
mod_opt,Conductance,Entire Graph,0.2615,10000,1,2
mod_opt,Modularity,Entire Graph,0.3817,10000,2,1
mod_opt,Coverage,Entire Graph,0.4503,10000,2,1
mod_opt,Conductance,Entire Graph,0.2659,10000,2,1
mod_opt,Modularity,Entire Graph,0.3817,10000,2,2
mod_opt,Coverage,Entire Graph,0.4503,10000,2,2
mod_opt,Conductance,Entire Graph,0.2659,10000,2,2
mod_opt,0.5_precision,Entire Graph,0.8390937378383841,10000,1,1
mod_opt,0.5_recall,Entire Graph,0.12021096447085647,10000,1,1
mod_opt,0.6_precision,Entire Graph,0.8390937378383841,10000,1,1
mod_opt,0.6_recall,Entire Graph,0.12021096447085647,10000,1,1
mod_opt,0.7_precision,Entire Graph,0.7578190125636588,10000,1,1
mod_opt,0.7_recall,Entire Graph,0.1019468756185323,10000,1,1
